下料批次号,零件号,面料号,零件外轮廓线坐标
L0003,s000001,M0003,"[[5611.8, 636.4], [5611.4, 640.5], [5610.8, 646.0], [5610.2, 651.6999999999999], [5609.6, 657.6], [5608.4, 669.6], [5607.1, 681.9999999999999], [5604.5, 706.9999999999999], [5603.2, 719.3000000000001], [5602.3, 728.1999999999999], [5601.4, 736.9], [5599.9, 754.3000000000001], [5599.2, 764.3000000000001], [5598.6, 774.3000000000001], [5598.4, 782.1999999999999], [5598.4, 790.1999999999999], [5598.2, 796.9], [5597.9, 803.4999999999999], [5597.0, 816.9], [5596.5, 828.1], [5596.0, 839.3000000000001], [5595.5, 861.8000000000001], [5595.0, 887.8000000000001], [5594.7, 900.6999999999999], [5594.5, 913.1999999999999], [5589.4, 913.4], [5584.8, 913.4999999999999], [5580.6, 913.6], [5576.6, 913.6999999999999], [5572.9, 913.8000000000001], [5569.4, 913.9], [5562.4, 913.9999999999999], [5553.7, 914.1999999999999], [5544.6, 914.4], [5535.2, 914.4999999999999], [5525.5, 914.6], [5515.6, 914.6999999999999], [5505.6, 914.8000000000001], [5485.8, 914.8000000000001], [5474.6, 914.6999999999999], [5463.6, 914.6], [5441.7, 914.4], [5432.8, 914.4], [5428.3, 914.6], [5423.9, 914.8000000000001], [5418.4, 915.3000000000001], [5412.9, 915.9999999999999], [5406.2, 916.6999999999999], [5403.1, 917.1999999999999], [5399.5, 917.8000000000001], [5392.5, 919.3000000000001], [5385.6, 921.3000000000001], [5380.7, 922.8000000000001], [5378.3, 923.8000000000001], [5376.0, 924.8000000000001], [5374.0, 925.9], [5372.1, 927.1], [5368.4, 929.9], [5364.1, 933.4999999999999], [5360.3, 937.4999999999999], [5357.6, 940.8000000000001], [5355.2, 944.3000000000001], [5352.1, 949.1999999999999], [5349.4, 953.9999999999999], [5346.6, 959.9999999999999], [5344.2, 966.1], [5332.8, 963.6999999999999], [5321.6, 961.4], [5310.5, 959.1], [5299.5, 956.9], [5277.7, 952.6], [5256.0, 948.4999999999999], [5230.4, 943.9], [5204.4, 939.6999999999999], [5178.4, 935.8000000000001], [5152.3, 932.1], [5120.7, 927.9999999999999], [5089.2, 924.1999999999999], [5063.7, 921.3000000000001], [5038.1, 918.8000000000001], [5012.5, 916.6], [4986.9, 914.8000000000001], [4966.9, 913.6999999999999], [4946.9, 912.9], [4913.5, 911.6999999999999], [4871.5, 910.4], [4848.1, 909.6], [4824.6, 908.9], [4804.6, 908.6], [4784.5, 908.4], [4740.3, 907.9], [4694.4, 907.6], [4660.2, 907.3000000000001], [4625.8, 906.9999999999999], [4593.2, 906.9], [4536.2, 906.9], [4523.4, 906.9999999999999], [4510.0, 906.9999999999999], [4510.0, 659.5], [4513.8, 659.6], [4524.3, 659.6], [4530.7, 659.6999999999999], [4536.7, 659.6999999999999], [4542.5, 659.8], [4599.8, 659.8], [4610.5, 659.6999999999999], [4621.3, 659.6999999999999], [4642.9, 659.6], [4697.7, 659.6], [4724.6, 659.4], [4751.5, 659.1999999999999], [4779.7, 658.6999999999999], [4808.0, 658.0], [4864.8, 656.4], [4915.4, 654.8], [4954.1, 653.3], [4987.4, 651.8], [5022.5, 649.8], [5057.6, 647.1999999999999], [5079.7, 645.3], [5101.8, 643.3], [5129.1, 640.5], [5156.3, 637.6], [5178.8, 634.9], [5201.2, 632.0], [5224.2, 628.8], [5247.2, 625.3], [5270.5, 621.6999999999999], [5293.7, 617.8], [5309.4, 615.1], [5325.2, 612.5], [5342.0, 610.0], [5353.8, 608.5], [5358.8, 607.8], [5361.6, 607.5], [5369.7, 606.6], [5377.8, 605.6999999999999], [5394.2, 604.1], [5402.3, 603.3], [5410.3, 602.5], [5418.1, 601.6999999999999], [5425.5, 601.0], [5425.4, 602.3], [5425.4, 603.1999999999999], [5613.0, 625.3], [5612.5, 630.1], [5611.9, 635.1999999999999], [5611.8, 636.4]]"
L0003,s000002,M0003,"[[11965.7, 659.2], [11776.3, 659.0], [11776.2, 661.1000000000001], [11775.1, 660.9000000000001], [11774.1, 660.6000000000001], [11773.3, 660.4000000000001], [11772.2, 660.1000000000001], [11770.9, 659.8], [11769.5, 659.5], [11767.9, 659.1000000000001], [11764.5, 658.3], [11757.3, 656.5], [11753.9, 655.6000000000001], [11752.3, 655.2], [11750.9, 654.9000000000001], [11749.2, 652.0], [11747.5, 649.0], [11744.0, 643.0], [11741.3, 638.6000000000001], [11739.8, 636.4000000000001], [11738.2, 634.4000000000001], [11736.1, 632.0], [11733.7, 629.7], [11728.8, 625.5], [11725.0, 622.3], [11721.0, 619.0], [11722.9, 617.5], [11724.9, 615.9000000000001], [11726.9, 614.2], [11728.8, 612.6000000000001], [11730.7, 610.9000000000001], [11731.7, 610.0], [11732.8, 609.0], [11967.9, 609.2], [11967.7, 613.6000000000001], [11967.5, 618.3], [11967.3, 623.4000000000001], [11967.0, 628.5], [11966.8, 633.7], [11966.5, 638.7], [11966.3, 643.4000000000001], [11966.2, 647.6000000000001], [11966.1, 650.0], [11966.0, 652.5], [11965.9, 653.9000000000001], [11965.9, 655.4000000000001], [11965.8, 657.2], [11965.7, 659.2]]"
L0003,s000003,M0003,"[[3001.6, 1160.0], [3002.8999999999996, 1185.0], [2655.3, 1202.5], [2654.0, 1177.5], [3001.6, 1160.0]]"
L0003,s000004,M0003,"[[1718.1999999999998, 568.0], [1718.1999999999998, 636.0], [1517.0, 636.0], [1517.0, 568.0], [1718.1999999999998, 568.0]]"
L0003,s000005,M0003,"[[7559.8, 1157.6], [7560.1, 1158.8], [7561.3, 1162.3], [7562.1, 1163.8999999999999], [7563.0, 1165.5], [7565.1, 1168.1999999999998], [7567.6, 1170.5], [7570.200000000001, 1172.3], [7573.0, 1173.6999999999998], [7576.0, 1174.8999999999999], [7579.0, 1175.8], [7586.200000000001, 1177.6999999999998], [7593.4, 1179.5], [7600.5, 1181.1], [7607.200000000001, 1182.6], [7610.5, 1183.3999999999999], [7613.8, 1184.1999999999998], [7617.4, 1185.0], [7619.4, 1185.5], [7621.5, 1186.0], [7618.5, 1193.0], [7615.3, 1200.3999999999999], [7612.1, 1207.9], [7610.1, 1212.6999999999998], [7608.9, 1215.5], [7604.3, 1226.7999999999997], [7599.8, 1238.0], [7589.700000000001, 1263.9], [7580.4, 1286.9], [7575.1, 1299.6], [7569.700000000001, 1312.4], [7568.200000000001, 1315.6999999999998], [7565.0, 1322.6999999999998], [7562.700000000001, 1327.7999999999997], [7560.3, 1332.6999999999998], [7556.8, 1339.4], [7555.0, 1342.7999999999997], [7553.0, 1346.5], [7551.6, 1345.7999999999997], [7550.4, 1345.1], [7549.4, 1344.6], [7548.6, 1344.1999999999998], [7547.200000000001, 1343.4], [7546.1, 1342.7999999999997], [7544.4, 1342.0], [7542.6, 1341.1], [7538.5, 1339.0], [7533.9, 1336.7999999999997], [7529.0, 1334.4], [7523.9, 1331.9], [7518.6, 1329.4], [7513.3, 1327.0], [7508.1, 1324.6], [7503.6, 1322.6], [7499.200000000001, 1320.6], [7490.5, 1316.9], [7476.0, 1310.9], [7461.3, 1304.9], [7450.5, 1301.0], [7445.1, 1299.1], [7441.6, 1298.1], [7439.6, 1297.5], [7430.1, 1295.1], [7420.4, 1293.0], [7411.3, 1291.1999999999998], [7406.700000000001, 1290.4], [7402.1, 1289.7999999999997], [7395.0, 1289.1999999999998], [7387.9, 1289.0], [7379.8, 1289.1999999999998], [7371.8, 1289.9], [7365.6, 1290.7999999999997], [7359.5, 1292.0], [7356.9, 1292.6999999999998], [7354.3, 1293.5], [7351.700000000001, 1294.6], [7349.200000000001, 1295.6999999999998], [7346.6, 1296.9], [7344.1, 1298.2999999999997], [7342.700000000001, 1299.4], [7341.4, 1300.6], [7338.8, 1303.1999999999998], [7336.3, 1305.9], [7334.3, 1308.6], [7332.6, 1311.4], [7330.8, 1315.0], [7329.4, 1318.6999999999998], [7327.9, 1323.1999999999998], [7326.6, 1327.6], [7321.0, 1326.2999999999997], [7315.700000000001, 1325.1], [7305.700000000001, 1323.1], [7298.0, 1321.6999999999998], [7290.1, 1320.4], [7274.0, 1318.1999999999998], [7258.700000000001, 1316.1999999999998], [7243.4, 1314.6], [7228.4, 1313.2999999999997], [7213.3, 1312.2999999999997], [7200.200000000001, 1311.6999999999998], [7193.700000000001, 1311.5], [7190.6, 1311.5], [7187.200000000001, 1311.6], [7176.3, 1312.0], [7165.4, 1312.6], [7158.0, 1313.1], [7150.6, 1313.7999999999997], [7141.0, 1315.0], [7131.3, 1316.5], [7113.3, 1319.1999999999998], [7095.6, 1321.7999999999997], [7081.4, 1324.0], [7074.1, 1325.1], [7066.6, 1326.1999999999998], [7055.700000000001, 1323.9], [7046.5, 1324.6], [7036.9, 1325.4], [7026.9, 1326.1], [7016.6, 1326.7999999999997], [7006.1, 1327.5], [6995.5, 1328.1999999999998], [6984.9, 1328.9], [6974.4, 1329.4], [6962.200000000001, 1330.0], [6950.200000000001, 1330.5], [6926.200000000001, 1331.4], [6903.200000000001, 1332.1999999999998], [6880.0, 1332.7999999999997], [6854.9, 1333.0], [6830.700000000001, 1333.1], [6829.9, 1333.1], [6818.200000000001, 1333.2999999999997], [6806.0, 1333.5], [6793.8, 1333.7999999999997], [6782.200000000001, 1334.1], [6770.6, 1334.5], [6759.200000000001, 1334.9], [6753.700000000001, 1335.1], [6748.3, 1335.1999999999998], [6733.0, 1136.8], [6761.1, 1136.1], [6761.200000000001, 1134.6999999999998], [6761.3, 1133.5], [6761.6, 1131.3], [6761.9, 1129.1], [6762.4, 1126.8], [6763.6, 1122.1], [6765.200000000001, 1115.8999999999999], [6766.200000000001, 1112.8], [6767.3, 1109.8999999999999], [6769.3, 1105.5], [6771.6, 1101.1999999999998], [6774.3, 1097.0], [6775.8, 1095.0], [6777.4, 1093.1999999999998], [6780.3, 1090.6999999999998], [6783.4, 1088.3999999999999], [6788.3, 1084.8999999999999], [6793.3, 1081.6], [6797.1, 1079.5], [6801.1, 1077.5], [6805.200000000001, 1075.6999999999998], [6809.3, 1074.0], [6819.5, 1070.1999999999998], [6829.9, 1066.6], [6842.5, 1062.6999999999998], [6855.200000000001, 1059.0], [6873.4, 1054.1999999999998], [6882.5, 1051.8999999999999], [6891.700000000001, 1049.8], [6902.3, 1047.6], [6913.0, 1045.6], [6934.5, 1041.8], [6953.700000000001, 1038.8], [6963.3, 1037.3999999999999], [6972.9, 1036.3], [6981.9, 1035.3999999999999], [6990.9, 1034.6999999999998], [7009.0, 1033.5], [7049.0, 1031.1999999999998], [7057.5, 1030.8], [7082.9, 1029.6], [7108.5, 1028.6999999999998], [7123.1, 1028.3999999999999], [7137.8, 1028.1999999999998], [7152.3, 1028.1], [7166.4, 1028.1], [7166.700000000001, 1023.5999999999999], [7176.8, 1023.0999999999999], [7186.700000000001, 1022.6999999999998], [7196.3, 1022.3], [7205.9, 1022.0999999999999], [7217.6, 1022.0], [7229.4, 1022.0], [7241.200000000001, 1022.3], [7253.1, 1022.6999999999998], [7272.5, 1023.8], [7291.8, 1025.3], [7311.1, 1027.1], [7335.8, 1029.8999999999999], [7350.6, 1031.8], [7365.4, 1033.8], [7380.3, 1035.8999999999999], [7395.5, 1038.0], [7405.700000000001, 1039.5], [7416.0, 1041.1], [7436.8, 1044.1999999999998], [7457.700000000001, 1047.5], [7478.4, 1050.6999999999998], [7488.5, 1052.3999999999999], [7498.5, 1053.8999999999999], [7508.200000000001, 1055.5], [7517.700000000001, 1057.0], [7526.9, 1058.5], [7535.8, 1060.0], [7544.3, 1061.3], [7552.4, 1062.6999999999998], [7553.200000000001, 1110.8], [7554.1, 1120.8], [7555.3, 1130.3999999999999], [7556.9, 1140.8], [7558.6, 1151.3], [7559.3, 1155.1], [7559.8, 1157.6]]"
L0003,s000006,M0003,"[[1971.0, 420.0], [2271.0, 420.0], [2271.0, 460.0], [1971.0, 460.0], [1971.0, 420.0]]"
L0003,s000007,M0003,"[[132.30000000000018, 713.0], [132.30000000000018, 773.7], [0.0, 773.7], [0.0, 713.0], [132.30000000000018, 713.0]]"
L0003,s000008,M0003,"[[2474.0, 1510.0], [2474.0, 1470.0], [2774.0, 1470.0], [2774.0, 1510.0], [2474.0, 1510.0]]"
L0003,s000009,M0003,"[[7542.0, 0.0], [7751.1, 0.0], [7758.4, 41.69999999999982], [7784.1, 41.69999999999982], [7797.7, 41.59999999999991], [7820.5, 41.59999999999991], [7829.6, 41.5], [7847.6, 41.19999999999982], [7870.8, 40.40000000000009], [7894.0, 39.09999999999991], [7910.1, 37.90000000000009], [7926.1, 36.59999999999991], [7965.5, 33.80000000000018], [8001.9, 31.300000000000182], [8036.3, 29.09999999999991], [8084.0, 26.40000000000009], [8103.2, 25.40000000000009], [8122.5, 24.40000000000009], [8144.7, 23.5], [8167.0, 23.09999999999991], [8186.4, 23.199999999999818], [8205.8, 23.300000000000182], [8221.5, 23.199999999999818], [8229.4, 23.300000000000182], [8237.3, 23.40000000000009], [8247.5, 23.90000000000009], [8257.6, 24.40000000000009], [8265.1, 24.699999999999818], [8272.7, 25.09999999999991], [8279.7, 25.5], [8286.6, 25.90000000000009], [8293.3, 26.40000000000009], [8296.5, 26.59999999999991], [8299.5, 26.800000000000182], [8299.5, 41.80000000000018], [8299.6, 49.19999999999982], [8299.6, 60.90000000000009], [8300.0, 72.59999999999991], [8300.8, 83.90000000000009], [8302.0, 95.19999999999982], [8302.7, 99.59999999999991], [8303.4, 104.09999999999991], [8304.3, 108.5], [8305.5, 112.90000000000009], [8307.0, 117.09999999999991], [8308.9, 121.19999999999982], [8310.8, 124.80000000000018], [8313.0, 128.30000000000018], [8315.0, 131.19999999999982], [8317.2, 134.0], [8319.7, 136.69999999999982], [8322.4, 139.19999999999982], [8319.6, 144.9000000000001], [8317.2, 149.80000000000018], [8316.7, 150.9000000000001], [8313.6, 157.0999999999999], [8310.8, 163.0], [8310.5, 163.5], [8304.2, 176.5999999999999], [8298.0, 189.80000000000018], [8291.1, 205.0999999999999], [8284.6, 220.19999999999982], [8279.7, 232.4000000000001], [8274.8, 244.69999999999982], [8270.7, 255.19999999999982], [8266.6, 265.6999999999998], [8265.6, 268.3000000000002], [8262.9, 275.8000000000002], [8259.4, 285.6999999999998], [8257.3, 292.4000000000001], [8256.2, 295.8000000000002], [8255.0, 299.5999999999999], [8252.4, 299.1999999999998], [8250.1, 298.9000000000001], [8247.9, 298.5999999999999], [8245.8, 298.3000000000002], [8241.9, 297.8000000000002], [8238.2, 297.3000000000002], [8234.2, 296.6999999999998], [8230.0, 296.0999999999999], [8221.4, 294.9000000000001], [8212.5, 293.8000000000002], [8203.6, 292.8000000000002], [8196.4, 292.1999999999998], [8189.4, 291.6999999999998], [8175.4, 290.9000000000001], [8155.6, 290.0999999999999], [8143.2, 289.8000000000002], [8142.2, 289.8000000000002], [8130.6, 289.6999999999998], [8111.9, 289.6999999999998], [8102.8, 289.9000000000001], [8098.4, 289.9000000000001], [8094.2, 290.0999999999999], [8090.3, 290.1999999999998], [8086.2, 290.4000000000001], [8084.1, 290.5], [8081.8, 290.5999999999999], [8079.3, 290.6999999999998], [8076.7, 290.8000000000002], [8074.0, 302.5], [8070.6, 301.9000000000001], [8067.1, 301.1999999999998], [8059.6, 299.8000000000002], [8051.7, 298.4000000000001], [8043.4, 296.9000000000001], [8035.0, 295.4000000000001], [8026.4, 294.0], [8017.8, 292.5999999999999], [8009.4, 291.3000000000002], [8002.2, 290.3000000000002], [7995.1, 289.3000000000002], [7981.1, 287.4000000000001], [7967.0, 285.1999999999998], [7952.9, 283.0999999999999], [7933.6, 280.5], [7917.0, 278.4000000000001], [7900.3, 276.5], [7895.5, 276.0], [7892.0, 275.6999999999998], [7883.6, 275.0], [7875.2, 274.5], [7866.9, 274.1999999999998], [7856.5, 274.0999999999999], [7846.1, 274.0999999999999], [7821.6, 274.1999999999998], [7806.7, 274.4000000000001], [7791.8, 274.9000000000001], [7781.1, 275.5], [7770.5, 276.3000000000002], [7749.2, 277.9000000000001], [7707.2, 281.0], [7653.3, 285.0999999999999], [7604.8, 288.6999999999998], [7586.2, 290.0], [7567.6, 291.1999999999998], [7549.1, 292.1999999999998], [7541.8, 292.4000000000001], [7530.6, 292.9000000000001], [7517.2, 293.1999999999998], [7503.5, 293.4000000000001], [7492.8, 293.5999999999999], [7482.0, 293.8000000000002], [7476.8, 293.9000000000001], [7471.6, 294.0], [7466.7, 294.0999999999999], [7461.9, 294.1999999999998], [7461.1, 56.69999999999982], [7461.0, 0.0], [7542.0, 0.0]]"
L0003,s000010,M0003,"[[14320.2, 1442.5], [14348.0, 1575.8], [14295.3, 1575.7], [14266.0, 1435.0], [14320.2, 1442.5]]"
