下料批次号,零件号,面料号,零件外轮廓线坐标
L0003,s000001,M0003,"[[51669.0, 4810.0], [51665.0, 4851.0], [51659.0, 4906.0], [51653.0, 4963.0], [51647.0, 5022.0], [51635.0, 5142.0], [51622.0, 5266.0], [51596.0, 5516.0], [51583.0, 5639.0], [51574.0, 5728.0], [51565.0, 5815.0], [51550.0, 5989.0], [51543.0, 6089.0], [51537.0, 6189.0], [51535.0, 6268.0], [51535.0, 6348.0], [51533.0, 6415.0], [51530.0, 6481.0], [51521.0, 6615.0], [51516.0, 6727.0], [51511.0, 6839.0], [51506.0, 7064.0], [51501.0, 7324.0], [51498.0, 7453.0], [51496.0, 7578.0], [51445.0, 7580.0], [51399.0, 7581.0], [51357.0, 7582.0], [51317.0, 7583.0], [51280.0, 7584.0], [51245.0, 7585.0], [51175.0, 7586.0], [51088.0, 7588.0], [50997.0, 7590.0], [50903.0, 7591.0], [50806.0, 7592.0], [50707.0, 7593.0], [50607.0, 7594.0], [50409.0, 7594.0], [50297.0, 7593.0], [50187.0, 7592.0], [49968.0, 7590.0], [49879.0, 7590.0], [49834.0, 7592.0], [49790.0, 7594.0], [49735.0, 7599.0], [49680.0, 7606.0], [49613.0, 7613.0], [49582.0, 7618.0], [49546.0, 7624.0], [49476.0, 7639.0], [49407.0, 7659.0], [49358.0, 7674.0], [49334.0, 7684.0], [49311.0, 7694.0], [49291.0, 7705.0], [49272.0, 7717.0], [49235.0, 7745.0], [49192.0, 7781.0], [49154.0, 7821.0], [49127.0, 7854.0], [49103.0, 7889.0], [49072.0, 7938.0], [49045.0, 7986.0], [49017.0, 8046.0], [48993.0, 8107.0], [48879.0, 8083.0], [48767.0, 8060.0], [48656.0, 8037.0], [48546.0, 8015.0], [48328.0, 7972.0], [48111.0, 7931.0], [47855.0, 7885.0], [47595.0, 7843.0], [47335.0, 7804.0], [47074.0, 7767.0], [46758.0, 7726.0], [46443.0, 7688.0], [46188.0, 7659.0], [45932.0, 7634.0], [45676.0, 7612.0], [45420.0, 7594.0], [45220.0, 7583.0], [45020.0, 7575.0], [44686.0, 7563.0], [44266.0, 7550.0], [44032.0, 7542.0], [43797.0, 7535.0], [43597.0, 7532.0], [43396.0, 7530.0], [42954.0, 7525.0], [42495.0, 7522.0], [42153.0, 7519.0], [41809.0, 7516.0], [41483.0, 7515.0], [40913.0, 7515.0], [40785.0, 7516.0], [40651.0, 7516.0], [40651.0, 5041.0], [40689.0, 5042.0], [40794.0, 5042.0], [40858.0, 5043.0], [40918.0, 5043.0], [40976.0, 5044.0], [41549.0, 5044.0], [41656.0, 5043.0], [41764.0, 5043.0], [41980.0, 5042.0], [42528.0, 5042.0], [42797.0, 5040.0], [43066.0, 5038.0], [43348.0, 5033.0], [43631.0, 5026.0], [44199.0, 5010.0], [44705.0, 4994.0], [45092.0, 4979.0], [45425.0, 4964.0], [45776.0, 4944.0], [46127.0, 4918.0], [46348.0, 4899.0], [46569.0, 4879.0], [46842.0, 4851.0], [47114.0, 4822.0], [47339.0, 4795.0], [47563.0, 4766.0], [47793.0, 4734.0], [48023.0, 4699.0], [48256.0, 4663.0], [48488.0, 4624.0], [48645.0, 4597.0], [48803.0, 4571.0], [48971.0, 4546.0], [49089.0, 4531.0], [49139.0, 4524.0], [49167.0, 4521.0], [49248.0, 4512.0], [49329.0, 4503.0], [49493.0, 4487.0], [49574.0, 4479.0], [49654.0, 4471.0], [49732.0, 4463.0], [49806.0, 4456.0], [49805.0, 4469.0], [49805.0, 4478.0], [51681.0, 4699.0], [51676.0, 4747.0], [51670.0, 4798.0], [51669.0, 4810.0]]"
L0003,s000002,M0003,"[[93015.0, 502.0], [91121.0, 500.0], [91120.0, 521.0], [91109.0, 519.0], [91099.0, 516.0], [91091.0, 514.0], [91080.0, 511.0], [91067.0, 508.0], [91053.0, 505.0], [91037.0, 501.0], [91003.0, 493.0], [90931.0, 475.0], [90897.0, 466.0], [90881.0, 462.0], [90867.0, 459.0], [90850.0, 430.0], [90833.0, 400.0], [90798.0, 340.0], [90771.0, 296.0], [90756.0, 274.0], [90740.0, 254.0], [90719.0, 230.0], [90695.0, 207.0], [90646.0, 165.0], [90608.0, 133.0], [90568.0, 100.0], [90587.0, 85.0], [90607.0, 69.0], [90627.0, 52.0], [90646.0, 36.0], [90665.0, 19.0], [90675.0, 10.0], [90686.0, 0.0], [93037.0, 2.0], [93035.0, 46.0], [93033.0, 93.0], [93031.0, 144.0], [93028.0, 195.0], [93026.0, 247.0], [93023.0, 297.0], [93021.0, 344.0], [93020.0, 386.0], [93019.0, 410.0], [93018.0, 435.0], [93017.0, 449.0], [93017.0, 464.0], [93016.0, 482.0], [93015.0, 502.0]]"
L0003,s000003,M0003,"[[22844.0, 5407.0], [22857.0, 5657.0], [19381.0, 5832.0], [19368.0, 5582.0], [22844.0, 5407.0]]"
L0003,s000004,M0003,"[[9137.0, 15309.0], [9137.0, 15989.0], [7125.0, 15989.0], [7125.0, 15309.0], [9137.0, 15309.0]]"
L0003,s000005,M0003,"[[71016.0, 7334.0], [71019.0, 7346.0], [71031.0, 7381.0], [71039.0, 7397.0], [71048.0, 7413.0], [71069.0, 7440.0], [71094.0, 7463.0], [71120.0, 7481.0], [71148.0, 7495.0], [71178.0, 7507.0], [71208.0, 7516.0], [71280.0, 7535.0], [71352.0, 7553.0], [71423.0, 7569.0], [71490.0, 7584.0], [71523.0, 7592.0], [71556.0, 7600.0], [71592.0, 7608.0], [71612.0, 7613.0], [71633.0, 7618.0], [71603.0, 7688.0], [71571.0, 7762.0], [71539.0, 7837.0], [71519.0, 7885.0], [71507.0, 7913.0], [71461.0, 8026.0], [71416.0, 8138.0], [71315.0, 8397.0], [71222.0, 8627.0], [71169.0, 8754.0], [71115.0, 8882.0], [71100.0, 8915.0], [71068.0, 8985.0], [71045.0, 9036.0], [71021.0, 9085.0], [70986.0, 9152.0], [70968.0, 9186.0], [70948.0, 9223.0], [70934.0, 9216.0], [70922.0, 9209.0], [70912.0, 9204.0], [70904.0, 9200.0], [70890.0, 9192.0], [70879.0, 9186.0], [70862.0, 9178.0], [70844.0, 9169.0], [70803.0, 9148.0], [70757.0, 9126.0], [70708.0, 9102.0], [70657.0, 9077.0], [70604.0, 9052.0], [70551.0, 9028.0], [70499.0, 9004.0], [70454.0, 8984.0], [70410.0, 8964.0], [70323.0, 8927.0], [70178.0, 8867.0], [70031.0, 8807.0], [69923.0, 8768.0], [69869.0, 8749.0], [69834.0, 8739.0], [69814.0, 8733.0], [69719.0, 8709.0], [69622.0, 8688.0], [69531.0, 8670.0], [69485.0, 8662.0], [69439.0, 8656.0], [69368.0, 8650.0], [69297.0, 8648.0], [69216.0, 8650.0], [69136.0, 8657.0], [69074.0, 8666.0], [69013.0, 8678.0], [68987.0, 8685.0], [68961.0, 8693.0], [68935.0, 8704.0], [68910.0, 8715.0], [68884.0, 8727.0], [68859.0, 8741.0], [68845.0, 8752.0], [68832.0, 8764.0], [68806.0, 8790.0], [68781.0, 8817.0], [68761.0, 8844.0], [68744.0, 8872.0], [68726.0, 8908.0], [68712.0, 8945.0], [68697.0, 8990.0], [68684.0, 9034.0], [68628.0, 9021.0], [68575.0, 9009.0], [68475.0, 8989.0], [68398.0, 8975.0], [68319.0, 8962.0], [68158.0, 8940.0], [68005.0, 8920.0], [67852.0, 8904.0], [67702.0, 8891.0], [67551.0, 8881.0], [67420.0, 8875.0], [67355.0, 8873.0], [67324.0, 8873.0], [67290.0, 8874.0], [67181.0, 8878.0], [67072.0, 8884.0], [66998.0, 8889.0], [66924.0, 8896.0], [66828.0, 8908.0], [66731.0, 8923.0], [66551.0, 8950.0], [66374.0, 8976.0], [66232.0, 8998.0], [66159.0, 9009.0], [66084.0, 9020.0], [65975.0, 8997.0], [65883.0, 9004.0], [65787.0, 9012.0], [65687.0, 9019.0], [65584.0, 9026.0], [65479.0, 9033.0], [65373.0, 9040.0], [65267.0, 9047.0], [65162.0, 9052.0], [65040.0, 9058.0], [64920.0, 9063.0], [64680.0, 9072.0], [64450.0, 9080.0], [64218.0, 9086.0], [63967.0, 9088.0], [63725.0, 9089.0], [63717.0, 9089.0], [63600.0, 9091.0], [63478.0, 9093.0], [63356.0, 9096.0], [63240.0, 9099.0], [63124.0, 9103.0], [63010.0, 9107.0], [62955.0, 9109.0], [62901.0, 9110.0], [62748.0, 7126.0], [63029.0, 7119.0], [63030.0, 7105.0], [63031.0, 7093.0], [63034.0, 7071.0], [63037.0, 7049.0], [63042.0, 7026.0], [63054.0, 6979.0], [63070.0, 6917.0], [63080.0, 6886.0], [63091.0, 6857.0], [63111.0, 6813.0], [63134.0, 6770.0], [63161.0, 6728.0], [63176.0, 6708.0], [63192.0, 6690.0], [63221.0, 6665.0], [63252.0, 6642.0], [63301.0, 6607.0], [63351.0, 6574.0], [63389.0, 6553.0], [63429.0, 6533.0], [63470.0, 6515.0], [63511.0, 6498.0], [63613.0, 6460.0], [63717.0, 6424.0], [63843.0, 6385.0], [63970.0, 6348.0], [64152.0, 6300.0], [64243.0, 6277.0], [64335.0, 6256.0], [64441.0, 6234.0], [64548.0, 6214.0], [64763.0, 6176.0], [64955.0, 6146.0], [65051.0, 6132.0], [65147.0, 6121.0], [65237.0, 6112.0], [65327.0, 6105.0], [65508.0, 6093.0], [65908.0, 6070.0], [65993.0, 6066.0], [66247.0, 6054.0], [66503.0, 6045.0], [66649.0, 6042.0], [66796.0, 6040.0], [66941.0, 6039.0], [67082.0, 6039.0], [67085.0, 5994.0], [67186.0, 5989.0], [67285.0, 5985.0], [67381.0, 5981.0], [67477.0, 5979.0], [67594.0, 5978.0], [67712.0, 5978.0], [67830.0, 5981.0], [67949.0, 5985.0], [68143.0, 5996.0], [68336.0, 6011.0], [68529.0, 6029.0], [68776.0, 6057.0], [68924.0, 6076.0], [69072.0, 6096.0], [69221.0, 6117.0], [69373.0, 6138.0], [69475.0, 6153.0], [69578.0, 6169.0], [69786.0, 6200.0], [69995.0, 6233.0], [70202.0, 6265.0], [70303.0, 6282.0], [70403.0, 6297.0], [70500.0, 6313.0], [70595.0, 6328.0], [70687.0, 6343.0], [70776.0, 6358.0], [70861.0, 6371.0], [70942.0, 6385.0], [70950.0, 6866.0], [70959.0, 6966.0], [70971.0, 7062.0], [70987.0, 7166.0], [71004.0, 7271.0], [71011.0, 7309.0], [71016.0, 7334.0]]"
L0003,s000006,M0003,"[[0.0, 15530.0], [3000.0, 15530.0], [3000.0, 15930.0], [0.0, 15930.0], [0.0, 15530.0]]"
L0003,s000007,M0003,"[[1323.0, 7105.0], [1323.0, 7712.0], [0.0, 7712.0], [0.0, 7105.0], [1323.0, 7105.0]]"
L0003,s000008,M0003,"[[3051.0, 15931.0], [3051.0, 15531.0], [6051.0, 15531.0], [6051.0, 15931.0], [3051.0, 15931.0]]"
L0003,s000009,M0003,"[[64549.0, 12498.0], [66640.0, 12498.0], [66713.0, 12915.0], [66970.0, 12915.0], [67106.0, 12914.0], [67334.0, 12914.0], [67425.0, 12913.0], [67605.0, 12910.0], [67837.0, 12902.0], [68069.0, 12889.0], [68230.0, 12877.0], [68390.0, 12864.0], [68784.0, 12836.0], [69148.0, 12811.0], [69492.0, 12789.0], [69969.0, 12762.0], [70161.0, 12752.0], [70354.0, 12742.0], [70576.0, 12733.0], [70799.0, 12729.0], [70993.0, 12730.0], [71187.0, 12731.0], [71344.0, 12730.0], [71423.0, 12731.0], [71502.0, 12732.0], [71604.0, 12737.0], [71705.0, 12742.0], [71780.0, 12745.0], [71856.0, 12749.0], [71926.0, 12753.0], [71995.0, 12757.0], [72062.0, 12762.0], [72094.0, 12764.0], [72124.0, 12766.0], [72124.0, 12916.0], [72125.0, 12990.0], [72125.0, 13107.0], [72129.0, 13224.0], [72137.0, 13337.0], [72149.0, 13450.0], [72156.0, 13494.0], [72163.0, 13539.0], [72172.0, 13583.0], [72184.0, 13627.0], [72199.0, 13669.0], [72218.0, 13710.0], [72237.0, 13746.0], [72259.0, 13781.0], [72279.0, 13810.0], [72301.0, 13838.0], [72326.0, 13865.0], [72353.0, 13890.0], [72325.0, 13947.0], [72301.0, 13996.0], [72296.0, 14007.0], [72265.0, 14069.0], [72237.0, 14128.0], [72234.0, 14133.0], [72171.0, 14264.0], [72109.0, 14396.0], [72040.0, 14549.0], [71975.0, 14700.0], [71926.0, 14822.0], [71877.0, 14945.0], [71836.0, 15050.0], [71795.0, 15155.0], [71785.0, 15181.0], [71758.0, 15256.0], [71723.0, 15355.0], [71702.0, 15422.0], [71691.0, 15456.0], [71679.0, 15494.0], [71653.0, 15490.0], [71630.0, 15487.0], [71608.0, 15484.0], [71587.0, 15481.0], [71548.0, 15476.0], [71511.0, 15471.0], [71471.0, 15465.0], [71429.0, 15459.0], [71343.0, 15447.0], [71254.0, 15436.0], [71165.0, 15426.0], [71093.0, 15420.0], [71023.0, 15415.0], [70883.0, 15407.0], [70685.0, 15399.0], [70561.0, 15396.0], [70551.0, 15396.0], [70435.0, 15395.0], [70248.0, 15395.0], [70157.0, 15397.0], [70113.0, 15397.0], [70071.0, 15399.0], [70032.0, 15400.0], [69991.0, 15402.0], [69970.0, 15403.0], [69947.0, 15404.0], [69922.0, 15405.0], [69896.0, 15406.0], [69869.0, 15523.0], [69835.0, 15517.0], [69800.0, 15510.0], [69725.0, 15496.0], [69646.0, 15482.0], [69563.0, 15467.0], [69479.0, 15452.0], [69393.0, 15438.0], [69307.0, 15424.0], [69223.0, 15411.0], [69151.0, 15401.0], [69080.0, 15391.0], [68940.0, 15372.0], [68799.0, 15350.0], [68658.0, 15329.0], [68465.0, 15303.0], [68299.0, 15282.0], [68132.0, 15263.0], [68084.0, 15258.0], [68049.0, 15255.0], [67965.0, 15248.0], [67881.0, 15243.0], [67798.0, 15240.0], [67694.0, 15239.0], [67590.0, 15239.0], [67345.0, 15240.0], [67196.0, 15242.0], [67047.0, 15247.0], [66940.0, 15253.0], [66834.0, 15261.0], [66621.0, 15277.0], [66201.0, 15308.0], [65662.0, 15349.0], [65177.0, 15385.0], [64991.0, 15398.0], [64805.0, 15410.0], [64620.0, 15420.0], [64547.0, 15422.0], [64435.0, 15427.0], [64301.0, 15430.0], [64164.0, 15432.0], [64057.0, 15434.0], [63949.0, 15436.0], [63897.0, 15437.0], [63845.0, 15438.0], [63796.0, 15439.0], [63748.0, 15440.0], [63740.0, 13065.0], [63739.0, 12498.0], [64549.0, 12498.0]]"
L0003,s000010,M0003,"[[94612.0, 14627.0], [94890.0, 15960.0], [94363.0, 15959.0], [94070.0, 14552.0], [94612.0, 14627.0]]"
