下料批次号,零件号,面料号,零件外轮廓线坐标
L0004,s000001,M0004,"[[7147.0, 15350.0], [14222.0, 15350.0], [14222.0, 16000.0], [7147.0, 16000.0], [7147.0, 15350.0]]"
L0004,s000002,M0004,"[[53229.0, 12268.0], [53221.0, 12314.0], [53212.0, 12370.0], [53203.0, 12428.0], [53193.0, 12488.0], [53174.0, 12611.0], [53153.0, 12738.0], [53133.0, 12866.0], [53112.0, 12993.0], [53092.0, 13119.0], [53078.0, 13210.0], [53064.0, 13299.0], [53038.0, 13476.0], [53024.0, 13579.0], [53013.0, 13682.0], [53008.0, 13756.0], [53004.0, 13829.0], [52998.0, 13897.0], [52990.0, 13964.0], [52972.0, 14099.0], [52959.0, 14212.0], [52947.0, 14326.0], [52926.0, 14554.0], [52904.0, 14818.0], [52893.0, 14948.0], [52882.0, 15075.0], [52835.0, 15079.0], [52792.0, 15082.0], [52753.0, 15085.0], [52716.0, 15087.0], [52682.0, 15090.0], [52649.0, 15092.0], [52585.0, 15096.0], [52504.0, 15102.0], [52420.0, 15108.0], [52332.0, 15113.0], [52242.0, 15119.0], [52151.0, 15124.0], [52058.0, 15130.0], [51966.0, 15134.0], [51874.0, 15138.0], [51771.0, 15143.0], [51668.0, 15146.0], [51465.0, 15155.0], [51388.0, 15160.0], [51311.0, 15166.0], [51198.0, 15178.0], [51135.0, 15185.0], [51123.0, 15187.0], [51073.0, 15195.0], [51035.0, 15203.0], [50998.0, 15213.0], [50924.0, 15234.0], [50872.0, 15250.0], [50847.0, 15260.0], [50822.0, 15272.0], [50802.0, 15283.0], [50782.0, 15297.0], [50744.0, 15326.0], [50701.0, 15365.0], [50662.0, 15408.0], [50636.0, 15443.0], [50611.0, 15479.0], [50581.0, 15529.0], [50554.0, 15581.0], [50527.0, 15646.0], [50504.0, 15709.0], [50390.0, 15680.0], [50278.0, 15651.0], [50058.0, 15596.0], [49841.0, 15542.0], [49625.0, 15489.0], [49369.0, 15431.0], [49110.0, 15375.0], [48849.0, 15323.0], [48588.0, 15275.0], [48430.0, 15248.0], [48272.0, 15223.0], [47956.0, 15177.0], [47701.0, 15141.0], [47444.0, 15108.0], [47188.0, 15078.0], [46931.0, 15053.0], [46682.0, 15033.0], [46432.0, 15016.0], [46069.0, 14997.0], [45714.0, 14980.0], [45439.0, 14971.0], [45164.0, 14963.0], [44889.0, 14958.0], [44614.0, 14954.0], [43986.0, 14947.0], [43360.0, 14940.0], [42885.0, 14935.0], [42647.0, 14933.0], [42405.0, 14931.0], [42175.0, 14930.0], [41945.0, 14929.0], [41832.0, 14928.0], [41326.0, 14928.0], [41265.0, 14929.0], [40992.0, 14929.0], [40992.0, 12585.0], [41030.0, 12585.0], [41066.0, 12586.0], [41135.0, 12586.0], [41199.0, 12587.0], [41374.0, 12587.0], [41484.0, 12588.0], [41759.0, 12588.0], [41903.0, 12587.0], [42050.0, 12587.0], [42200.0, 12586.0], [42350.0, 12585.0], [42652.0, 12584.0], [42846.0, 12583.0], [43037.0, 12582.0], [43227.0, 12582.0], [43415.0, 12581.0], [43790.0, 12579.0], [44164.0, 12575.0], [44557.0, 12570.0], [44952.0, 12561.0], [45347.0, 12549.0], [45742.0, 12532.0], [46176.0, 12508.0], [46592.0, 12483.0], [46936.0, 12460.0], [47288.0, 12434.0], [47464.0, 12419.0], [47640.0, 12403.0], [47861.0, 12381.0], [48082.0, 12356.0], [48355.0, 12325.0], [48627.0, 12289.0], [48852.0, 12255.0], [49076.0, 12218.0], [49306.0, 12177.0], [49536.0, 12134.0], [49768.0, 12089.0], [50000.0, 12043.0], [50301.0, 11981.0], [50415.0, 11958.0], [50529.0, 11937.0], [50644.0, 11919.0], [50759.0, 11904.0], [50915.0, 11888.0], [51070.0, 11873.0], [51223.0, 11858.0], [51299.0, 11852.0], [51373.0, 11845.0], [51372.0, 11856.0], [51371.0, 11864.0], [53247.0, 12158.0], [53239.0, 12207.0], [53230.0, 12259.0], [53229.0, 12268.0]]"
L0004,s000003,M0004,"[[14553.0, -26.0], [17553.0, -26.0], [17553.0, 374.0], [14553.0, 374.0], [14553.0, -26.0]]"
L0004,s000004,M0004,"[[72986.0, 12408.0], [72998.0, 12444.0], [73006.0, 12461.0], [73015.0, 12478.0], [73026.0, 12492.0], [73038.0, 12506.0], [73065.0, 12531.0], [73092.0, 12551.0], [73122.0, 12566.0], [73154.0, 12579.0], [73187.0, 12589.0], [73264.0, 12610.0], [73341.0, 12629.0], [73417.0, 12647.0], [73454.0, 12655.0], [73489.0, 12664.0], [73524.0, 12672.0], [73560.0, 12680.0], [73599.0, 12690.0], [73620.0, 12695.0], [73643.0, 12700.0], [73606.0, 12778.0], [73567.0, 12859.0], [73528.0, 12943.0], [73518.0, 12963.0], [73489.0, 13026.0], [73433.0, 13151.0], [73378.0, 13275.0], [73317.0, 13419.0], [73254.0, 13562.0], [73141.0, 13817.0], [73076.0, 13957.0], [73010.0, 14098.0], [72973.0, 14172.0], [72954.0, 14212.0], [72925.0, 14268.0], [72897.0, 14322.0], [72856.0, 14396.0], [72834.0, 14434.0], [72810.0, 14475.0], [72792.0, 14464.0], [72776.0, 14455.0], [72763.0, 14448.0], [72752.0, 14442.0], [72743.0, 14436.0], [72734.0, 14431.0], [72719.0, 14423.0], [72688.0, 14405.0], [72652.0, 14385.0], [72612.0, 14363.0], [72569.0, 14339.0], [72524.0, 14315.0], [72477.0, 14290.0], [72431.0, 14266.0], [72384.0, 14243.0], [72321.0, 14213.0], [72259.0, 14185.0], [72138.0, 14133.0], [71983.0, 14068.0], [71904.0, 14036.0], [71824.0, 14007.0], [71709.0, 13969.0], [71593.0, 13936.0], [71587.0, 13934.0], [71490.0, 13910.0], [71387.0, 13886.0], [71289.0, 13866.0], [71240.0, 13857.0], [71191.0, 13850.0], [71115.0, 13843.0], [71039.0, 13841.0], [70952.0, 13842.0], [70866.0, 13848.0], [70800.0, 13857.0], [70734.0, 13871.0], [70706.0, 13878.0], [70678.0, 13887.0], [70651.0, 13898.0], [70623.0, 13909.0], [70597.0, 13920.0], [70573.0, 13934.0], [70559.0, 13945.0], [70545.0, 13957.0], [70519.0, 13982.0], [70495.0, 14008.0], [70475.0, 14034.0], [70458.0, 14062.0], [70440.0, 14097.0], [70425.0, 14134.0], [70410.0, 14177.0], [70397.0, 14221.0], [70342.0, 14208.0], [70291.0, 14197.0], [70242.0, 14186.0], [70193.0, 14177.0], [70118.0, 14163.0], [70041.0, 14150.0], [69885.0, 14128.0], [69735.0, 14109.0], [69587.0, 14092.0], [69440.0, 14079.0], [69293.0, 14069.0], [69166.0, 14063.0], [69102.0, 14062.0], [69039.0, 14062.0], [68933.0, 14065.0], [68826.0, 14072.0], [68683.0, 14083.0], [68581.0, 14093.0], [68478.0, 14104.0], [68287.0, 14125.0], [68193.0, 14136.0], [68099.0, 14147.0], [68024.0, 14155.0], [67949.0, 14164.0], [67872.0, 14173.0], [67792.0, 14182.0], [67683.0, 14159.0], [67590.0, 14165.0], [67492.0, 14172.0], [67390.0, 14178.0], [67286.0, 14184.0], [67179.0, 14190.0], [67072.0, 14196.0], [66964.0, 14201.0], [66857.0, 14206.0], [66733.0, 14210.0], [66611.0, 14214.0], [66368.0, 14220.0], [66133.0, 14226.0], [65898.0, 14230.0], [65578.0, 14230.0], [65417.0, 14229.0], [65382.0, 14229.0], [65254.0, 14230.0], [65132.0, 14231.0], [65072.0, 14232.0], [65013.0, 14233.0], [64960.0, 14234.0], [64908.0, 14235.0], [64856.0, 14237.0], [64803.0, 14238.0], [64748.0, 14240.0], [64690.0, 14242.0], [64627.0, 14245.0], [64594.0, 14246.0], [64559.0, 14247.0], [64406.0, 12152.0], [64687.0, 12145.0], [64688.0, 12132.0], [64689.0, 12119.0], [64691.0, 12097.0], [64700.0, 12052.0], [64711.0, 12005.0], [64728.0, 11943.0], [64738.0, 11913.0], [64749.0, 11883.0], [64769.0, 11839.0], [64792.0, 11796.0], [64819.0, 11754.0], [64834.0, 11735.0], [64850.0, 11716.0], [64879.0, 11691.0], [64910.0, 11668.0], [64959.0, 11633.0], [65008.0, 11601.0], [65046.0, 11579.0], [65084.0, 11560.0], [65123.0, 11543.0], [65163.0, 11526.0], [65268.0, 11487.0], [65374.0, 11451.0], [65503.0, 11411.0], [65632.0, 11374.0], [65818.0, 11325.0], [65911.0, 11302.0], [66005.0, 11281.0], [66114.0, 11259.0], [66223.0, 11238.0], [66443.0, 11201.0], [66639.0, 11170.0], [66737.0, 11157.0], [66835.0, 11145.0], [66927.0, 11136.0], [67019.0, 11129.0], [67204.0, 11118.0], [67635.0, 11095.0], [67951.0, 11081.0], [68110.0, 11075.0], [68268.0, 11070.0], [68429.0, 11067.0], [68590.0, 11066.0], [68911.0, 11065.0], [68914.0, 11020.0], [69019.0, 11016.0], [69120.0, 11012.0], [69220.0, 11009.0], [69319.0, 11007.0], [69440.0, 11007.0], [69562.0, 11008.0], [69685.0, 11011.0], [69808.0, 11017.0], [69960.0, 11026.0], [70111.0, 11037.0], [70261.0, 11051.0], [70411.0, 11067.0], [70627.0, 11092.0], [70844.0, 11121.0], [71062.0, 11152.0], [71283.0, 11186.0], [71494.0, 11218.0], [71707.0, 11252.0], [71920.0, 11287.0], [72131.0, 11322.0], [72235.0, 11339.0], [72337.0, 11356.0], [72438.0, 11373.0], [72537.0, 11389.0], [72634.0, 11406.0], [72728.0, 11421.0], [72819.0, 11437.0], [72908.0, 11452.0], [72916.0, 11915.0], [72921.0, 11959.0], [72927.0, 12006.0], [72933.0, 12056.0], [72940.0, 12109.0], [72947.0, 12164.0], [72955.0, 12219.0], [72971.0, 12329.0], [72977.0, 12369.0], [72986.0, 12408.0]]"
L0004,s000005,M0004,"[[-26.0, 644.0], [1974.0, 644.0], [1974.0, 1044.0], [-26.0, 1044.0], [-26.0, 644.0]]"
L0004,s000006,M0004,"[[40993.0, 12518.0], [40993.0, 12118.0], [43993.0, 12118.0], [43993.0, 12518.0], [40993.0, 12518.0]]"
L0004,s000007,M0004,"[[9624.0, 14798.0], [9624.0, 14818.0], [9625.0, 14836.0], [9625.0, 14851.0], [9626.0, 14866.0], [9627.0, 14890.0], [9628.0, 14914.0], [9629.0, 14957.0], [9631.0, 15004.0], [9634.0, 15054.0], [9636.0, 15105.0], [9638.0, 15157.0], [9641.0, 15207.0], [9643.0, 15255.0], [9645.0, 15298.0], [7294.0, 15300.0], [7283.0, 15290.0], [7273.0, 15281.0], [7254.0, 15265.0], [7235.0, 15248.0], [7215.0, 15232.0], [7195.0, 15215.0], [7176.0, 15200.0], [7216.0, 15167.0], [7254.0, 15136.0], [7303.0, 15093.0], [7327.0, 15070.0], [7348.0, 15046.0], [7364.0, 15026.0], [7379.0, 15005.0], [7406.0, 14960.0], [7441.0, 14900.0], [7458.0, 14870.0], [7475.0, 14842.0], [7489.0, 14838.0], [7505.0, 14834.0], [7539.0, 14826.0], [7575.0, 14817.0], [7611.0, 14808.0], [7645.0, 14800.0], [7661.0, 14796.0], [7675.0, 14792.0], [7688.0, 14789.0], [7698.0, 14786.0], [7707.0, 14784.0], [7715.0, 14782.0], [7728.0, 14779.0], [7729.0, 14799.0], [9624.0, 14798.0]]"
L0004,s000008,M0004,"[[28372.0, 10509.0], [28390.0, 10605.0], [28411.0, 10717.0], [28433.0, 10827.0], [28449.0, 10904.0], [28466.0, 10981.0], [28484.0, 11057.0], [28504.0, 11136.0], [28519.0, 11194.0], [28535.0, 11251.0], [28548.0, 11304.0], [28554.0, 11330.0], [28559.0, 11353.0], [28562.0, 11369.0], [28568.0, 11405.0], [28570.0, 11416.0], [28572.0, 11429.0], [28573.0, 11444.0], [28574.0, 11456.0], [28575.0, 11467.0], [28575.0, 11476.0], [28576.0, 11491.0], [28577.0, 11505.0], [28581.0, 11537.0], [28586.0, 11572.0], [28592.0, 11611.0], [28600.0, 11653.0], [28609.0, 11697.0], [28618.0, 11742.0], [28641.0, 11836.0], [28670.0, 11946.0], [28686.0, 11999.0], [28701.0, 12050.0], [28714.0, 12098.0], [28727.0, 12143.0], [28737.0, 12183.0], [28745.0, 12218.0], [28748.0, 12231.0], [28752.0, 12255.0], [28753.0, 12266.0], [28755.0, 12279.0], [28758.0, 12294.0], [28759.0, 12315.0], [28760.0, 12330.0], [28761.0, 12343.0], [28762.0, 12352.0], [28762.0, 12363.0], [28763.0, 12369.0], [28765.0, 12386.0], [28768.0, 12406.0], [28773.0, 12429.0], [28778.0, 12456.0], [28783.0, 12486.0], [28790.0, 12519.0], [28797.0, 12555.0], [28805.0, 12593.0], [28814.0, 12633.0], [28823.0, 12676.0], [28833.0, 12720.0], [28843.0, 12766.0], [28865.0, 12863.0], [28888.0, 12963.0], [28912.0, 13066.0], [28936.0, 13170.0], [28961.0, 13273.0], [28985.0, 13373.0], [28996.0, 13421.0], [29008.0, 13468.0], [29019.0, 13514.0], [29029.0, 13558.0], [29040.0, 13600.0], [29049.0, 13640.0], [29058.0, 13678.0], [29067.0, 13713.0], [29074.0, 13741.0], [29081.0, 13769.0], [29088.0, 13798.0], [29096.0, 13829.0], [29105.0, 13864.0], [29110.0, 13883.0], [29115.0, 13904.0], [29121.0, 13927.0], [29127.0, 13951.0], [29134.0, 13977.0], [29141.0, 14006.0], [29090.0, 14012.0], [29041.0, 14017.0], [28996.0, 14023.0], [28953.0, 14028.0], [28912.0, 14032.0], [28874.0, 14037.0], [28838.0, 14041.0], [28803.0, 14045.0], [28738.0, 14053.0], [28677.0, 14060.0], [28618.0, 14067.0], [28559.0, 14074.0], [28464.0, 14085.0], [28365.0, 14097.0], [28261.0, 14109.0], [28155.0, 14122.0], [28045.0, 14135.0], [27932.0, 14149.0], [27817.0, 14162.0], [27701.0, 14176.0], [27464.0, 14204.0], [27225.0, 14231.0], [26987.0, 14257.0], [26869.0, 14270.0], [26753.0, 14282.0], [26653.0, 14292.0], [26554.0, 14303.0], [26456.0, 14316.0], [26358.0, 14333.0], [26345.0, 14335.0], [26328.0, 14338.0], [26308.0, 14342.0], [26285.0, 14347.0], [26260.0, 14352.0], [26234.0, 14358.0], [26183.0, 14369.0], [26136.0, 14381.0], [26093.0, 14392.0], [26051.0, 14405.0], [26011.0, 14419.0], [25973.0, 14434.0], [25934.0, 14452.0], [25896.0, 14471.0], [25858.0, 14491.0], [25819.0, 14516.0], [25781.0, 14543.0], [25735.0, 14578.0], [25692.0, 14617.0], [25649.0, 14663.0], [25630.0, 14687.0], [25612.0, 14713.0], [25594.0, 14742.0], [25578.0, 14772.0], [25564.0, 14802.0], [25552.0, 14834.0], [25543.0, 14863.0], [25536.0, 14893.0], [25525.0, 14954.0], [25518.0, 15016.0], [25513.0, 15078.0], [25505.0, 15226.0], [25502.0, 15298.0], [25501.0, 15369.0], [25501.0, 15428.0], [25502.0, 15487.0], [25503.0, 15549.0], [25503.0, 15658.0], [25502.0, 15702.0], [25501.0, 15745.0], [25500.0, 15787.0], [25498.0, 15826.0], [25497.0, 15860.0], [25496.0, 15876.0], [25496.0, 15889.0], [25495.0, 15901.0], [25495.0, 15912.0], [25410.0, 16000.0], [25342.0, 15954.0], [25276.0, 15909.0], [25145.0, 15822.0], [24987.0, 15719.0], [24828.0, 15616.0], [24664.0, 15511.0], [24498.0, 15410.0], [24365.0, 15333.0], [24229.0, 15260.0], [24101.0, 15195.0], [23972.0, 15134.0], [23865.0, 15087.0], [23756.0, 15044.0], [23641.0, 15004.0], [23524.0, 14968.0], [23284.0, 14898.0], [23132.0, 14856.0], [22979.0, 14819.0], [22832.0, 14788.0], [22684.0, 14760.0], [22539.0, 14732.0], [22394.0, 14706.0], [22247.0, 14684.0], [22100.0, 14666.0], [21933.0, 14649.0], [21766.0, 14635.0], [21599.0, 14623.0], [21431.0, 14613.0], [20742.0, 14570.0], [20538.0, 14559.0], [20334.0, 14549.0], [20119.0, 14541.0], [19905.0, 14536.0], [19475.0, 14528.0], [19001.0, 14517.0], [18528.0, 14506.0], [18083.0, 14498.0], [17860.0, 14495.0], [17635.0, 14492.0], [17394.0, 14489.0], [17154.0, 14486.0], [17035.0, 14485.0], [16917.0, 14483.0], [16801.0, 14482.0], [16687.0, 14480.0], [16564.0, 14479.0], [16439.0, 14477.0], [16375.0, 14476.0], [16308.0, 14476.0], [16239.0, 14475.0], [16167.0, 14474.0], [16167.0, 12897.0], [16166.0, 12753.0], [16166.0, 11866.0], [16297.0, 11864.0], [16424.0, 11862.0], [16550.0, 11861.0], [16676.0, 11860.0], [16849.0, 11859.0], [17024.0, 11859.0], [17199.0, 11858.0], [17374.0, 11856.0], [17652.0, 11849.0], [17928.0, 11841.0], [18176.0, 11836.0], [18424.0, 11832.0], [18721.0, 11826.0], [19018.0, 11818.0], [19440.0, 11805.0], [19863.0, 11793.0], [20142.0, 11786.0], [20281.0, 11781.0], [20420.0, 11775.0], [20567.0, 11767.0], [20715.0, 11758.0], [21009.0, 11739.0], [21273.0, 11723.0], [21536.0, 11707.0], [21680.0, 11698.0], [21823.0, 11688.0], [21966.0, 11676.0], [22109.0, 11661.0], [22253.0, 11643.0], [22397.0, 11624.0], [22544.0, 11602.0], [22691.0, 11579.0], [22871.0, 11547.0], [23050.0, 11513.0], [23474.0, 11429.0], [23675.0, 11388.0], [23776.0, 11366.0], [23876.0, 11343.0], [23974.0, 11318.0], [24072.0, 11293.0], [24266.0, 11238.0], [24458.0, 11183.0], [24650.0, 11127.0], [24802.0, 11080.0], [24953.0, 11031.0], [25112.0, 10976.0], [25271.0, 10921.0], [25434.0, 10864.0], [25517.0, 10836.0], [25599.0, 10810.0], [25703.0, 10781.0], [25806.0, 10753.0], [25950.0, 10715.0], [26095.0, 10679.0], [26248.0, 10644.0], [26402.0, 10613.0], [26510.0, 10593.0], [26618.0, 10576.0], [26836.0, 10543.0], [26978.0, 10523.0], [27119.0, 10504.0], [27262.0, 10486.0], [27405.0, 10470.0], [27535.0, 10458.0], [27665.0, 10448.0], [27794.0, 10438.0], [27922.0, 10428.0], [28027.0, 10419.0], [28132.0, 10411.0], [28240.0, 10401.0], [28351.0, 10392.0], [28360.0, 10443.0], [28370.0, 10496.0], [28372.0, 10509.0]]"
L0004,s000009,M0004,"[[1924.0, 7347.0], [1924.0, 8247.0], [-26.0, 8247.0], [-26.0, 7347.0], [1924.0, 7347.0]]"
L0004,s000010,M0004,"[[63876.0, 4807.0], [63676.0, 4807.0], [63577.0, 4542.0], [63577.0, 4342.0], [63585.0, 4333.0], [63593.0, 4323.0], [63610.0, 4301.0], [63629.0, 4277.0], [63648.0, 4254.0], [63665.0, 4233.0], [63713.0, 4173.0], [63734.0, 4149.0], [63756.0, 4125.0], [63787.0, 4095.0], [63806.0, 4078.0], [63826.0, 4062.0], [63855.0, 4043.0], [63888.0, 4020.0], [63907.0, 4010.0], [63925.0, 4000.0], [63947.0, 3988.0], [63969.0, 3978.0], [63987.0, 3971.0], [64004.0, 3964.0], [64040.0, 3953.0], [64077.0, 3943.0], [64116.0, 3933.0], [64158.0, 3925.0], [64200.0, 3918.0], [64246.0, 3910.0], [64293.0, 3904.0], [64334.0, 3899.0], [64418.0, 3893.0], [64460.0, 3891.0], [64560.0, 3888.0], [64720.0, 3880.0], [64781.0, 3876.0], [64902.0, 3867.0], [64995.0, 3860.0], [65042.0, 3855.0], [65088.0, 3850.0], [65159.0, 3839.0], [65230.0, 3826.0], [65300.0, 3812.0], [65334.0, 3804.0], [65367.0, 3795.0], [65411.0, 3781.0], [65454.0, 3765.0], [65476.0, 3756.0], [65499.0, 3747.0], [65522.0, 3736.0], [65547.0, 3725.0], [65567.0, 3716.0], [65588.0, 3707.0], [65629.0, 3687.0], [65671.0, 3668.0], [65691.0, 3659.0], [65729.0, 3641.0], [65746.0, 3633.0], [65762.0, 3626.0], [65775.0, 3620.0], [65787.0, 3614.0], [65797.0, 3610.0], [65804.0, 3606.0], [65809.0, 3604.0], [66009.0, 3604.0], [66009.0, 3804.0], [65994.0, 4736.0], [65689.0, 4736.0], [65596.0, 4737.0], [65518.0, 4737.0], [65438.0, 4738.0], [65357.0, 4738.0], [65275.0, 4739.0], [64827.0, 4739.0], [64744.0, 4738.0], [64705.0, 4738.0], [64660.0, 4739.0], [64553.0, 4742.0], [64447.0, 4747.0], [64340.0, 4753.0], [64255.0, 4759.0], [64171.0, 4767.0], [64029.0, 4785.0], [63952.0, 4796.0], [63914.0, 4802.0], [63876.0, 4807.0]]"
